Year,Month,Dekad,Rainfall(mm),Average(mm)
2023,3,3,61.4325,30.5914
2023,4,1,30.8867,38.0823
2023,4,2,17.874,34.4192
2023,4,3,105.9111,39.6816
2023,5,1,29.4631,30.9658
2023,5,2,13.5348,24.8583
2023,5,3,14.9113,20.1955
2023,6,1,11.2586,16.7653
2023,6,2,16.952,14.9757
2023,6,3,17.3151,13.2858
2023,7,1,12.9566,14.7383
2023,7,2,7.4352,15.8419
2023,7,3,12.1188,20.3294
2023,8,1,15.9015,15.5339
2023,8,2,7.313,16.7419
2023,8,3,9.4356,19.9081
2023,9,1,18.8196,11.5402
2023,9,2,19.3878,9.6345
2023,9,3,0,9.6769
2023,10,1,0,13.2087
2023,10,2,0,15.5893
2023,10,3,0,19.6413
2023,11,1,0,24.6364
2023,11,2,0,21.5681
2023,11,3,0,22.5113
2023,12,1,0,16.811
2023,12,2,0,16.9599
2023,12,3,0,18.3763
2024,1,1,0,9.049
2024,1,2,0,10.2445
2024,1,3,0,9.7117
2024,2,1,0,8.6781
2024,2,2,0,11.6488
2024,2,3,0,8.7773
2024,3,1,0,20.7857
2024,3,2,0,22.0756
2024,3,3,0,30.5914
2024,4,1,0,38.0823
2024,4,2,0,34.4192
2024,4,3,0,39.6816
2024,5,1,0,30.9658
2024,5,2,0,24.8583
2024,5,3,0,20.1955
2024,6,1,0,16.7653
2024,6,2,0,14.9757
2024,6,3,0,13.2858
2024,7,1,0,14.7383
2024,7,2,0,15.8419
2024,7,3,0,20.3294
2024,8,1,0,15.5339
2024,8,2,0,16.7419
2024,8,3,0,19.9081
2024,9,1,0,11.5402
2024,9,2,0,9.6345
2024,9,3,0,9.6769
2024,10,1,0,13.2087
2024,10,2,0,15.5893
2024,10,3,0,19.6413
2024,11,1,0,24.6364
2024,11,2,0,21.5681
2024,11,3,0,22.5113
2024,12,1,0,16.811
2024,12,2,0,16.9599
2024,12,3,0,18.3763
